rank,ticker,composite_score,momentum,volume,news,social,fundamentals,capitol_hill,price_usd,llm_reason,run_timestamp
1,F,6.9661,10.0,0.0,10.0,4.8,6.974,8.0,13.5989,High composite score driven by perfect news and strong momentum signals.,20260515_103745
2,PM,6.7105,10.0,0.0,10.0,3.6,4.47,10.0,191.51,"Excellent momentum and news signals, indicating strong immediate catalyst interest.",20260515_103745
3,POET,6.6625,10.0,0.0,10.0,6.0,6.75,5.0,18.2972,Strong momentum and news combined with solid social and fundamental scores.,20260515_103745
4,LLY,6.5683,8.1338,0.0,10.0,4.8,7.31,7.5,1011.08,Exceptional news catalyst combined with high fundamental strength and strong momentum.,20260515_103745
5,ONDS,6.5413,9.3938,0.0,10.0,6.0,6.75,5.0,11.13,High news and social conviction supporting a strong composite score.,20260515_103745
6,CME,6.5232,10.0,0.0,10.0,6.0,5.821,5.0,301.62,Perfect news score and high momentum suggest strong institutional interest.,20260515_103745
7,RKLB,6.406,8.7176,0.0,10.0,6.0,6.75,5.0,126.025,Strong news and social signals support a high composite score despite moderate momentum.,20260515_103745
8,NEXT,6.4,10.0,0.0,10.0,6.0,5.0,5.0,9.18,Perfect news and social signals provide a strong foundation for conviction.,20260515_103745
9,META,6.3373,5.3861,0.0,10.0,6.0,7.7337,8.0,614.53,High fundamental score combined with perfect news and social signals.,20260515_103745
10,COST,6.2961,8.8465,0.0,10.0,6.0,5.845,5.0,1046.47,Excellent news and social signals paired with a solid fundamental score.,20260515_103745
11,LUNR,6.2797,8.0862,0.0,10.0,6.0,6.75,5.0,34.61,Strong news and social signals support a high composite score.,20260515_103745
12,VRT,6.2781,7.363,0.0,10.0,2.4,6.3035,10.0,367.61,High news score and strong momentum suggest a powerful catalyst play.,20260515_103745
13,RDW,6.2728,8.9517,0.0,10.0,4.8,6.75,5.0,13.865,Strong news and fundamental scores provide a solid base for conviction.,20260515_103745
14,ICE,6.1615,4.8579,0.0,10.0,6.0,7.2663,8.0,155.51,"High news and fundamental scores indicate stable, news-driven interest.",20260515_103745
15,SYK,6.1606,10.0,0.0,10.0,0.0,4.404,10.0,309.555,"Perfect news and momentum signals suggest a powerful, albeit socially unconfirmed, catalyst.",20260515_103745
16,GEN,6.1578,6.185,0.0,10.0,6.0,8.4722,5.0,23.265,High fundamental score combined with perfect news and social signals.,20260515_103745
17,BOT,6.15,5.0,5.0,10.0,6.0,5.0,5.0,24.255,Perfect news and social signals provide a solid foundation for conviction.,20260515_103745
18,HALO,6.1204,7.7784,0.0,10.0,4.8,7.2979,5.0,67.3,Strong news and fundamental scores support a high composite score.,20260515_103745
19,HOOD,6.1177,5.3785,0.0,10.0,6.0,4.2799,10.0,78.09,High news and social signals suggest strong retail interest.,20260515_103745
